Date,Open,High,Low,Close,Adj Close,Volume
2022-12-30,434.410004,436.480011,428.309998,432.089996,430.738708,271600
2023-01-03,435.809998,436.720001,430.029999,434.459991,433.101318,334900
2023-01-04,438.839996,445.279999,436.100006,442.739990,441.355408,371300
2023-01-05,439.470001,441.489990,434.130005,435.920013,434.556763,254800
2023-01-06,439.929993,443.850006,436.829987,443.670013,442.976593,467300
2023-01-09,444.000000,449.390015,442.250000,443.410004,442.717010,517500
2023-01-10,443.890015,445.910004,441.019989,443.459991,442.766907,323100
2023-01-11,445.920013,452.410004,443.929993,452.109985,451.403381,304100
2023-01-12,451.290009,453.429993,445.260010,451.230011,450.524780,345900
2023-01-13,447.649994,452.040009,444.929993,450.980011,450.275177,279600
2023-01-17,450.980011,452.179993,443.690002,445.059998,444.364410,512300
2023-01-18,448.140015,448.720001,436.769989,437.809998,437.125732,517400
2023-01-19,435.809998,439.089996,432.179993,432.179993,431.504547,463200
2023-01-20,432.299988,442.799988,427.730011,441.589996,440.899841,462700
2023-01-23,442.010010,444.570007,439.799988,443.029999,442.337585,503700
2023-01-24,444.089996,446.899994,440.970001,446.179993,445.482666,382400
2023-01-25,439.260010,444.880005,436.410004,444.230011,443.535736,382000
2023-01-26,446.510010,448.940002,440.559998,444.450012,443.755371,697700
2023-01-27,438.329987,442.440002,432.779999,434.109985,433.431519,669100
2023-01-30,433.160004,433.549988,422.760010,423.480011,422.818146,808800
2023-01-31,425.760010,428.179993,420.089996,426.750000,426.083038,929000
2023-02-01,421.929993,436.380005,420.250000,433.910004,433.231842,832900
2023-02-02,434.899994,440.660004,431.609985,432.549988,431.873962,806900
2023-02-03,429.109985,432.350006,425.529999,430.339996,429.667419,779000
2023-02-06,429.549988,430.790009,426.200012,430.079987,429.407806,329200
2023-02-07,429.000000,435.959991,425.660004,434.549988,433.870819,411200
2023-02-08,432.170013,435.000000,426.059998,427.910004,427.241211,499100
2023-02-09,431.369995,433.519989,427.059998,428.660004,427.990051,412900
2023-02-10,427.750000,429.760010,425.410004,427.399994,426.732025,463100
2023-02-13,427.000000,430.850006,426.619995,429.679993,429.008453,418800
2023-02-14,429.570007,432.329987,423.679993,426.760010,426.093018,313500
2023-02-15,425.609985,426.079987,420.690002,421.589996,420.931091,690600
2023-02-16,419.890015,426.279999,417.760010,422.970001,422.308929,641900
2023-02-17,423.200012,429.380005,420.829987,427.679993,427.011566,601700
2023-02-21,424.429993,426.670013,419.079987,423.209991,422.548553,639000
2023-02-22,427.540009,428.040009,420.940002,421.600006,420.941101,390800
2023-02-23,427.390015,432.100006,425.630005,431.040009,430.366333,586800
2023-02-24,425.200012,429.239990,424.320007,428.440002,427.770386,402700
